stratum,n_draws,E_L1,E_L2,E_L3,E_Tail,E_H2,sd_L1,sd_L2,sd_L3,sd_Tail,sd_H2,E_k_parts
1,200000,0.951601,0.048399,0.0,0.0,0.940648,0.127988,0.127988,0.0,0.0,0.156951,1.12511
2,200000,0.766957,0.215939,0.017104,0.017104,0.700644,0.185647,0.166981,0.056137,0.056137,0.21836,1.77815
3,200000,0.707916,0.235153,0.053869,0.056932,0.623811,0.190639,0.143556,0.084424,0.091588,0.215741,2.169905
4,200000,0.678626,0.235638,0.074224,0.085737,0.584933,0.193163,0.130547,0.08736,0.107599,0.214139,2.466355
5,200000,0.664792,0.231626,0.083132,0.103582,0.565443,0.19497,0.123853,0.085262,0.116313,0.213789,2.68701
6,200000,0.654841,0.228539,0.088095,0.11662,0.551403,0.195901,0.119751,0.082541,0.122132,0.213414,2.874195
7,200000,0.649275,0.225264,0.090376,0.125461,0.542928,0.196677,0.117403,0.080001,0.125686,0.213467,3.02978
8,200000,0.644872,0.222705,0.091716,0.132423,0.535808,0.196481,0.115331,0.07768,0.128097,0.2129,3.170545
9,200000,0.643785,0.220301,0.091467,0.135914,0.533185,0.196611,0.114985,0.075809,0.12916,0.212931,3.27884
10,200000,0.640693,0.218881,0.09208,0.140426,0.528331,0.196337,0.113854,0.074327,0.130291,0.212161,3.39306
11,200000,0.63939,0.217845,0.091803,0.142765,0.525951,0.196181,0.113598,0.07313,0.130767,0.211748,3.48457
12,200000,0.638703,0.216167,0.091717,0.14513,0.523961,0.195745,0.113051,0.072035,0.130818,0.211409,3.573
13,200000,0.636878,0.216004,0.091587,0.147118,0.521201,0.19517,0.11283,0.071147,0.131263,0.210341,3.65588
14,200000,0.635482,0.215278,0.091679,0.149241,0.519308,0.195607,0.112952,0.070507,0.131542,0.210592,3.733955
15,200000,0.635575,0.214798,0.091165,0.149627,0.518685,0.194835,0.112797,0.070016,0.131205,0.20981,3.794235
16,200000,0.634549,0.213967,0.091262,0.151484,0.517134,0.195196,0.112467,0.069731,0.13169,0.210156,3.86486
17,200000,0.634007,0.213731,0.090976,0.152262,0.516131,0.194805,0.112715,0.069219,0.131426,0.20962,3.923425
18,200000,0.632773,0.213858,0.090895,0.153369,0.514525,0.19471,0.112752,0.068789,0.131402,0.209326,3.986835
"PD(0,1)",0,0.62433,0.186023,0.084947,0.189647,,,,,,,
