dataset_id,f,keff_core_median,q95,recovered
cp-discovery__259-csv__n-bytes__1cf6c29e,0.01,1.0026202349817732,1.006596607186815,False
cp-discovery__259-csv__n-bytes__1cf6c29e,0.05,1.0131295167398238,1.006596607186815,True
cp-discovery__259-csv__n-bytes__1cf6c29e,0.1,1.0259139086036442,1.006596607186815,True
cp-discovery__259-csv__n-bytes__1cf6c29e,0.25,1.0687097931980785,1.006596607186815,True
audit-analytics__259-csv__n-bytes__71ce5e4b,0.01,1.002680038535622,1.0059782983069414,False
audit-analytics__259-csv__n-bytes__71ce5e4b,0.05,1.0129945300085104,1.0059782983069414,True
audit-analytics__259-csv__n-bytes__71ce5e4b,0.1,1.0256263944717707,1.0059782983069414,True
audit-analytics__259-csv__n-bytes__71ce5e4b,0.25,1.0684064861032416,1.0059782983069414,True
archive__68-csv__n-bytes__d3088831,0.01,1.0025273484989246,1.0079165906110015,False
archive__68-csv__n-bytes__d3088831,0.05,1.0097649422173025,1.0079165906110015,True
archive__68-csv__n-bytes__d3088831,0.1,1.019623134508885,1.0079165906110015,True
archive__68-csv__n-bytes__d3088831,0.25,1.0514698154938875,1.0079165906110015,True
