domain,families,mean_dTail_25strip,mean_dTail_7strip,mean_dTail_13strip,mean_frac_smooth7,mean_frac_smooth13
real_estate,12,-0.02688,-0.02064,-0.01387,0.10746,0.16737
equity_markets,103,-0.02102,-0.02133,-0.0162,0.06406,0.10185
seismology,34,-0.0194,-0.01363,-0.00808,0.3171,0.42937
procurement,8,-0.01929,-0.01023,-0.00709,0.09866,0.12638
accounting,4,-0.01691,-0.00901,-0.00645,0.277,0.29632
food_nutrition,10,-0.01562,-0.00867,-0.00468,0.07857,0.12151
unresolved,79,-0.01221,-0.00965,-0.00681,0.19865,0.24901
crime,3,-0.01101,-0.00388,-0.00276,0.04578,0.05754
census,26,-0.00646,-0.00222,-0.00073,0.21157,0.28939
admin_codes,3,-0.0064,-0.00478,-0.00225,0.15788,0.16983
corporate_financials,32,-0.00448,-0.00255,-0.00138,0.05534,0.0711
payments_fraud,11,-0.00358,-0.00133,-0.00111,0.16783,0.22489
sports,13,-0.00302,-0.0015,-0.0005,0.12938,0.19248
network_telemetry,6,-0.00278,-0.00132,-0.00078,0.11554,0.18011
taxi_trips,1,-0.00249,-0.0,0.0,0.1738,0.29945
health,8,-0.00146,-0.00138,-0.00154,0.25734,0.34906
genomics,11,0.00191,-0.00083,-0.0003,0.11222,0.19932
campaign_finance,3,0.00791,0.00949,0.01148,0.14013,0.14395
