domain,families,mean_dTail_raw,mean_dTail_derounded,mean_dL1_raw,mean_dL1_derounded,mean_rounding_mass,arm_shrinkage
accounting,4,-0.008823,-0.016909,-0.048809,0.073299,0.255086,-0.91636
admin_codes,3,-0.00115,-0.006402,-0.013988,0.019141,0.189286,-4.567015
campaign_finance,3,0.005768,0.007907,-0.012413,0.015926,0.170869,-0.370788
census,26,0.002232,-0.00646,-0.005411,0.018751,0.239706,3.894193
corporate_financials,32,0.004085,-0.004475,-0.014072,-0.008636,0.154231,2.0956
crime,3,0.020138,-0.011008,-0.033435,-0.026245,0.133207,1.546604
equity_markets,103,0.110892,-0.021023,-0.13463,0.025457,0.330173,1.189578
food_nutrition,10,0.043846,-0.015616,-0.065931,0.020574,0.241898,1.356167
genomics,11,0.010274,0.001912,-0.018081,-0.017907,0.163452,0.813907
health,8,-0.001115,-0.001456,0.00523,0.013734,0.219834,-0.305803
network_telemetry,6,-0.003453,-0.00278,0.004427,0.008799,0.158379,0.194924
payments_fraud,11,-0.000891,-0.003577,-0.005054,0.008264,0.182866,-3.015039
procurement,8,0.067993,-0.019291,-0.085459,0.050417,0.317221,1.283722
real_estate,12,0.055715,-0.028743,-0.092969,0.059928,0.373011,1.515884
seismology,34,0.064711,-0.0194,-0.096671,0.049983,0.428243,1.299798
sports,13,-0.003383,-0.003022,0.002827,0.006192,0.16873,0.106732
taxi_trips,1,0.000683,-0.002493,0.022552,0.023839,0.208043,4.650073
unresolved,120,0.059328,-0.006363,-0.072479,0.011529,0.289947,1.107254
