dataset_family,family_label,domain,top_project,channels,column_set,total_records,log10_min,log10_max
archive__cbad-audit-public-spending-9187-03092026-132004__spending-part__fb1ab6,spending_#_#_#_part,census,Archive,92,Agency|Associated Prime Vendor|Budget Code|Capital Project|Check Amount|Contract ID|Contract Purpose|Department|Document ID|Emerging Business|Expense Category|Fiscal year|Industry|Issue Date|M/WBE Category|MOCS Registered|Payee Name|Spending Category|Sub Contract Reference ID|Sub Vendor|Woman Owned Business,45895814,2.0,3.307
archive__cbad-audit-public-spending-9187-03092026-132004__train-transaction__7bd54a,train_transaction,payments_fraud,Archive,8,C1|C10|C11|C12|C13|C14|C2|C3|C4|C5|C6|C7|C8|C9|D1|D10|D11|D12|D13|D14|D15|D2|D3|D4|D5|D6|D7|D8|D9|M1|M2|M3|M4|M5|M6|M7|M8|M9|P_emaildomain|ProductCD|R_emaildomain|TransactionAmt|TransactionDT|TransactionID|V1|V10|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V11|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V12|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V13|V130|V131|V132|V133|V134|,4774432,1.114,6.482
archive__cbad-audit-public__fy-all-contracts-full__88214f,FY#_All_Contracts_Full,procurement,Archive,325,1862_land_grant_college|1890_land_grant_college|1994_land_grant_college|a76_fair_act_action|a76_fair_act_action_code|action_date|action_date_fiscal_year|action_type|action_type_code|airport_authority|alaskan_native_corporation_owned_firm|alaskan_native_servicing_institution|american_indian_owned_business|asian_pacific_american_owned_business|award_id_piid|award_or_idv_flag|award_type|award_type_co,308870368,0.0,13.522
archive__cbad-audit-public__h1b-kaggle__3090b7,h1b_kaggle,unresolved,Archive,2,CASE_STATUS|EMPLOYER_NAME|FULL_TIME_POSITION|JOB_TITLE|PREVAILING_WAGE|SOC_NAME|Unnamed: 0|WORKSITE|YEAR|lat|lon,5962842,0.0,4.699
archive__cbad-audit-public__louisville-metro-ky-expenditures__1d8a17,Louisville_Metro_KY_-_Expenditures_Data_For_Fiscal_Year,accounting,Archive,2,ObjectId|agency|cost_center|expenditure_category|expenditure_type|extended_amount|financing_source|fiscal_year|fund|grant_|invoice_amount|invoice_date|invoice_number|payee|payment_date|payment_number|program|project|region|spend_category,339106,0.0,4.699
archive__cbad-audit-public__motor-vehicle-insurance-data__bf7144,Motor vehicle insurance data,census,Archive,4,Area|Cost_claims_year|Cylinder_capacity|Date_birth|Date_driving_licence|Date_lapse|Date_last_renewal|Date_next_renewal|Date_start_contract|Distribution_channel|ID|Lapse|Length|Max_policies|Max_products|N_claims_history|N_claims_year|N_doors|Payment|Policies_in_force|Power|Premium|R_Claims_history|Second_driver|Seniority|Type_fuel|Type_risk|Value_vehicle|Weight|Year_matriculation,423720,0.0,4.392
archive__cbad-audit-public__mup-phy-r25-p05-v20-d23-prov__48dfe8,MUP_PHY_R25_P05_V20_D23_Prov,health,Archive,21,Bene_Age_65_74_Cnt|Bene_Age_75_84_Cnt|Bene_Age_GT_84_Cnt|Bene_Age_LT_65_Cnt|Bene_Avg_Age|Bene_Avg_Risk_Scre|Bene_CC_BH_ADHD_OthCD_V1_Pct|Bene_CC_BH_Alcohol_Drug_V1_Pct|Bene_CC_BH_Alz_NonAlzdem_V2_Pct|Bene_CC_BH_Anxiety_V1_Pct|Bene_CC_BH_Bipolar_V1_Pct|Bene_CC_BH_Depress_V1_Pct|Bene_CC_BH_Mood_V2_Pct|Bene_CC_BH_PD_V1_Pct|Bene_CC_BH_PTSD_V1_Pct|Bene_CC_BH_Schizo_OthPsy_V1_Pct|Bene_CC_BH_Tobacco_V1_P,26439672,0.845,9.014
archive__cbad-audit-public__online-retail-ii__e8deeb,online_retail_II,accounting,Archive,2,Country|Customer ID|Description|Invoice|InvoiceDate|Price|Quantity|StockCode,100000,4.092,4.262
archive__cbad-audit-public__purchase-card-transactions__426135,Purchase_Card_Transactions,unresolved,Archive,1,AGENCY|DCS_LAST_MOD_DTTM|MCC_DESCRIPTION|OBJECTID|TRANSACTION_AMOUNT|TRANSACTION_DATE|VENDOR_NAME|VENDOR_STATE_PROVINCE,604234,0.0,4.699
archive__cbad-audit-public__real-estate-sales-gl__c96291,Real_Estate_Sales_#-#_GL,unresolved,Archive,4,Address|Assessed Value|Assessor Remarks|Date Recorded|List Year|Location|Non Use Code|OPM remarks|Property Type|Residential_Type|Sale Amount|Sales Ratio|Serial Number|Town,3711988,2.324,8.322
