case,grid,ratio,n,L1,dL1,dL1_se,keff,c25_share,c25_null,flat_adequate
exponential,10,0.5,40000,0.5825328625184256,-0.18442413748157438,0.000928235,1.3385006357351183,0.6436479080812034,0.36319969207939196,False
exponential,10,1.0,40000,0.6409438624140811,-0.12601313758591892,0.000928235,1.231157156050488,0.4455082898652825,0.3602185137619824,False
exponential,10,2.0,40000,0.7102454568304374,-0.05671154316956262,0.000928235,1.0992422937451773,0.3615885388722803,0.35502849543758025,False
exponential,10,5.0,40000,0.7701721414317007,0.003215141431700652,0.000928235,0.9939577555516419,0.34507985376497247,0.342172072873643,False
exponential,10,10.0,40000,0.7798637248608269,0.01292591318582692,0.0009282431119999999,0.978087324534198,0.33009176585359423,0.32630533815028645,False
exponential,10,50.0,40000,0.7601105232967461,0.00532334942174606,0.00093337988,0.9897875631702193,0.2757352035276256,0.2706580805634266,False
exponential,100,0.5,40000,0.5831692121466209,-0.18378778785337913,0.000928235,1.3371822641217808,0.6415591064013474,0.36317305104665515,False
exponential,100,1.0,40000,0.6406199760447414,-0.1263370239552586,0.000928235,1.2322208252045523,0.44491753259253064,0.36020870378522024,False
exponential,100,2.0,40000,0.7110440197221002,-0.055912980277899815,0.000928235,1.0983047262755494,0.36041172235137453,0.35489345615156237,False
exponential,100,5.0,40000,0.768027159446482,0.001070159446482033,0.000928235,0.9986538672076086,0.34179492459243743,0.3422694788740966,True
exponential,100,10.0,40000,0.7798692118677218,0.012928448142721871,0.0009282418639999999,0.9779102452555828,0.3284983764449624,0.32629266108002275,False
exponential,100,50.0,40000,0.7621030413041215,0.007262730529121519,0.0009333574160000001,0.9870156644969916,0.2727154363764828,0.27104686528884125,False
zero_inflated_poisson,10,3.0,16116,1.0,0.04839899999999997,0.0010081859091956307,0.940648,0.4119508562918839,1.0233827326804201,False
