sweep,param,keff,auc_vs_single,auc_vs_unrounded_single
balance,1.0,1.7423,0.8615,
balance,1.5,1.6911,0.8424,
balance,2.0,1.6068,0.8103,
balance,3.0,1.4621,0.7505,
balance,4.0,1.3626,0.7057,
balance,6.0,1.2407,0.6449,
balance,9.0,1.1595,0.601,
factor_size,small_10_100,2.2224,0.9568,
factor_size,large_1e3_1e4,1.7446,0.8619,
factor_count,2,1.7277,0.8559,
factor_count,3,2.116,0.9489,
factor_count,4,2.2168,0.9559,
factor_count,5,2.1501,0.9441,
factor_count,6,2.0213,0.9241,
factor_count,7,1.8551,0.892,
factor_count,8,1.7175,0.8579,
rounding,0,1.7464,0.8652,0.8629
rounding,1,1.4014,0.5669,0.7289
rounding,2,1.5768,0.5077,0.799
rounding,3,1.671,0.5025,0.8439
