family,param,keff_prod,keff_null,auc_same_perturbed
none,0,1.7459,0.9974,0.8632
grid,2,1.5624,1.115,0.7498
grid,5,1.34,1.1913,0.6024
grid,10,1.404,1.3023,0.5689
grid,25,1.377,1.3536,0.5189
grid,100,1.5738,1.5649,0.5056
grid,1000,1.6724,1.6666,0.5058
sigfig,5,1.5738,1.5649,0.5056
sigfig,4,1.6724,1.6666,0.5058
sigfig,3,1.5316,1.5303,0.501
sigfig,2,1.2602,1.26,0.4999
additive,1,0.9252,0.9994,0.4437
additive,3,0.9604,1.0039,0.4677
additive,10,0.9844,0.9949,0.4911
additive,100,0.9978,0.9973,0.4996
additive,1000,0.9924,0.998,0.4963
additive,10000,0.995,0.9969,0.4987
