d,rho,null,statistic,auc,n_pos,n_null,pos_mean_keff,pos_mean_tail,pos_mean_atoms,null_mean_atoms
8,1.0,loguniform,keff,0.489,4000,4000,1.0673,-0.0,1.992,3.1428
8,1.0,loguniform,tail,0.8591,4000,4000,1.0673,-0.0,1.992,3.1428
8,1.0,loguniform,atoms,0.8295,4000,4000,1.0673,-0.0,1.992,3.1428
8,1.0,loguniform,L3,0.8579,4000,4000,1.0673,-0.0,1.992,3.1428
8,1.0,loguniform,H3,0.5557,4000,4000,1.0673,-0.0,1.992,3.1428
8,1.0,loguniform,energy,1.0,4000,4000,1.0673,-0.0,1.992,3.1428
8,1.0,uniform,keff,0.4755,4000,4000,1.0673,-0.0,1.992,3.164
8,1.0,uniform,tail,0.8637,4000,4000,1.0673,-0.0,1.992,3.164
8,1.0,uniform,atoms,0.8335,4000,4000,1.0673,-0.0,1.992,3.164
8,1.0,uniform,L3,0.8624,4000,4000,1.0673,-0.0,1.992,3.164
8,1.0,uniform,H3,0.5507,4000,4000,1.0673,-0.0,1.992,3.164
8,1.0,uniform,energy,1.0,4000,4000,1.0673,-0.0,1.992,3.164
10,1.0,loguniform,keff,0.488,4000,4000,1.0565,-0.0,1.9998,3.3192
10,1.0,loguniform,tail,0.8762,4000,4000,1.0565,-0.0,1.9998,3.3192
10,1.0,loguniform,atoms,0.8465,4000,4000,1.0565,-0.0,1.9998,3.3192
10,1.0,loguniform,L3,0.874,4000,4000,1.0565,-0.0,1.9998,3.3192
10,1.0,loguniform,H3,0.5507,4000,4000,1.0565,-0.0,1.9998,3.3192
10,1.0,loguniform,energy,1.0,4000,4000,1.0565,-0.0,1.9998,3.3192
10,1.0,uniform,keff,0.4716,4000,4000,1.0565,-0.0,1.9998,3.3868
10,1.0,uniform,tail,0.8829,4000,4000,1.0565,-0.0,1.9998,3.3868
10,1.0,uniform,atoms,0.8624,4000,4000,1.0565,-0.0,1.9998,3.3868
10,1.0,uniform,L3,0.8829,4000,4000,1.0565,-0.0,1.9998,3.3868
10,1.0,uniform,H3,0.538,4000,4000,1.0565,-0.0,1.9998,3.3868
10,1.0,uniform,energy,1.0,4000,4000,1.0565,-0.0,1.9998,3.3868
12,1.0,loguniform,keff,0.4654,4000,4000,1.0479,0.0,2.0,3.5388
12,1.0,loguniform,tail,0.8985,4000,4000,1.0479,0.0,2.0,3.5388
12,1.0,loguniform,atoms,0.8814,4000,4000,1.0479,0.0,2.0,3.5388
12,1.0,loguniform,L3,0.8998,4000,4000,1.0479,0.0,2.0,3.5388
12,1.0,loguniform,H3,0.5319,4000,4000,1.0479,0.0,2.0,3.5388
