dataset_id,domain,variant,f,n,keff_p,keff_c7,dTail_c7,q95_keff_p,q95_keff_c7,q95_dTail_c7,det_keff_c7,det_keff_p,det_dTail_c7
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,none,0.0,30000,0.70471,0.99506,-0.00019,0.70649,0.99675,-1e-05,False,False,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,unrounded,0.01,30000,0.70902,0.99888,0.00089,0.70649,0.99675,-1e-05,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,unrounded,0.05,30000,0.72654,1.01367,0.00555,0.70649,0.99675,-1e-05,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,unrounded,0.1,30000,0.75071,1.03281,0.01152,0.70649,0.99675,-1e-05,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,unrounded,0.25,30000,0.82997,1.09431,0.02724,0.70649,0.99675,-1e-05,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,postrounded,0.01,30000,0.70455,0.99498,-0.00018,0.70649,0.99675,-1e-05,False,False,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,postrounded,0.05,30000,0.70416,0.99555,-9e-05,0.70649,0.99675,-1e-05,False,False,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,postrounded,0.1,30000,0.70397,0.99563,-7e-05,0.70649,0.99675,-1e-05,False,False,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,postrounded,0.25,30000,0.70015,0.99461,-0.00011,0.70649,0.99675,-1e-05,False,False,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_estate,covarying,0.01,30000,0.70773,0.99691,0.00013,0.70649,0.99675,-1e-05,True,True,True
