cod_id,n_symops,n_sites,mult_product_log10,d,L1,Tail,H2,keff,omega,maxexp,frac_exp_carrier
1100678,4,54,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7054692,2,65,19.56695,20,1.0,0.0,1.0,0.51385,1,65,1.0
1549901,8,4,2.70927,3,1.0,0.0,1.0,0.62381,1,9,1.0
7046244,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4349855,4,9,5.41854,6,1.0,0.0,1.0,0.5514,1,18,1.0
7223260,4,32,19.26592,20,1.0,0.0,1.0,0.51385,1,64,1.0
9007298,4,13,7.82678,8,1.0,0.0,1.0,0.53581,1,26,1.0
2023223,2,49,14.44944,15,1.0,0.0,1.0,0.51868,1,48,1.0
4119692,8,43,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
9011864,2,76,22.87828,23,1.0,0.0,1.0,0.51204,1,76,1.0
7036954,8,59,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7156989,4,46,27.69476,28,1.0,0.0,1.0,0.50989,1,92,1.0
2020571,8,86,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1543068,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4131621,8,46,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4119957,4,78,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
6000106,32,11,7.22472,8,1.0,0.0,1.0,0.53581,1,24,1.0
7044604,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7125775,8,54,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4345798,4,50,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1507353,4,58,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
8000308,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7101128,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2011423,4,112,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4087075,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4329120,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
2238201,4,28,16.85768,17,1.0,0.0,1.0,0.51613,1,56,1.0
7006142,4,43,25.88858,26,1.0,0.0,1.0,0.51065,1,86,1.0
1557505,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
9004016,32,24,29.19991,30,1.0,0.0,1.0,0.50923,1,97,1.0
7700828,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7117647,8,77,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
7014173,2,100,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7209514,4,81,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
1573044,4,70,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7056019,2,100,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4072524,8,82,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
7121668,2,64,19.26592,20,1.0,0.0,1.0,0.51385,1,64,1.0
2223070,2,43,12.94429,13,1.0,0.0,1.0,0.5212,1,43,1.0
7123516,2,62,18.66386,19,1.0,0.0,1.0,0.51457,1,62,1.0
7018271,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
