species,configuration,n_levels,log10,d,L1,H2,keff,omega,maxexp
Fe I,3d6.4s2,21,17.38849,18,0.35671,0.23619,2.17843,5,13
Fe I,3d7.(4F).4s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d7.(4P).4s,5,3.19728,4,0.43723,0.35011,1.67073,3,2
Fe I,3d6.(5D).4s.4p.(3P*),34,26.35494,27,0.34397,0.25693,1.98594,5,19
Fe I,3d7.(2G).4s,4,3.79498,4,0.5029,0.3778,1.54826,3,4
Fe I,3d7.(2P).4s,3,1.65321,2,0.5772,0.51192,1.36866,2,2
Fe I,3d7.(2H).4s,4,4.15097,5,0.50176,0.37662,1.50135,3,2
Fe I,3d7.(2D2).4s,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Fe I,3d8,5,3.6744,4,0.38955,0.34939,1.67414,3,3
Fe I,3d7.(4F).4p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Fe I,3d6.(5D).4s.4p.(1P*),12,9.01345,10,0.37054,0.28389,1.86104,4,7
Fe I,3d7.(2F).4s,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Fe I,3d5.(6S).4s2.4p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Fe I,3d6.(3P2).4s.4p.(3P*),15,10.06896,11,0.41651,0.3469,1.51613,3,7
Fe I,3d6.(3H).4s.4p.(3P*),25,24.80819,25,0.29384,0.23903,2.13815,5,13
Fe I,3d6.(5D).4s (6D).5s,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Fe I,3d6.(3F2).4s.4p.(3P*),25,20.80548,21,0.34399,0.2528,2.02998,5,15
Fe I,3d7.(4P).4p,14,9.36999,10,0.37298,0.33938,1.55676,3,7
Fe I,3d7.(4F).5s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d6.(3G).4s.4p.(3P*),26,23.9145,24,0.29927,0.23,2.22408,5,15
Fe I,3d7.(2G).4p,12,11.28936,12,0.3381,0.2549,2.05555,5,8
Fe I,3d6.(5D).4s (6D).5p,26,20.65935,21,0.34642,0.24723,2.07574,5,15
Fe I,3d7.(2P).4p,8,4.85049,5,0.43231,0.37206,1.51977,3,4
Fe I,3d6.(5D).4s (6D).4d,40,33.16392,34,0.30212,0.2231,2.27764,5,21
Fe I,3d7.(2D2).4p,10,7.23966,8,0.38619,0.34127,1.57003,3,4
Fe I,3d6.(5D).4s (4D).5s,7,4.99662,5,0.38196,0.33859,1.66999,3,4
Fe I,3d7.(2H).4p,12,12.39132,13,0.33617,0.26622,1.95776,5,7
Fe I,3d7.(4F).5p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Fe I,3d7.(4F).4d,36,30.44376,31,0.31344,0.2226,2.28627,5,20
Fe I,3d6.(3D).4s.4p.(3P*),15,11.51176,12,0.37302,0.29254,1.79107,4,9
Fe I,3d6.(5D).4s (6D).6s,5,4.01682,5,0.35634,0.26874,2.10407,4,3
Fe I,3d6.4s.(6D).6s,4,2.97543,3,0.48106,0.36727,1.69849,3,3
Fe I,3d6.(1G2).4s.4p.(3P*),9,8.44862,9,0.33884,0.23984,2.22311,5,6
Fe I,3d7.(4F).6s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d6.4s.(6D).6p,26,20.65935,21,0.34642,0.24723,2.07574,5,15
Fe I,3d6.4s.(6D).5d,39,32.6868,33,0.29194,0.22093,2.30118,5,20
Fe I,3d6.(1I).4s.4p.(3P*),6,6.44101,7,0.34589,0.28537,1.90257,4,3
Fe I,3d6.4s.(6D<9/2>).4f,14,13.36705,14,0.24986,0.1827,2.84247,6,7
Fe I,3d6.(3D).4s.4p.(1P*),2,1.54407,2,0.54732,0.50448,1.38885,2,1
Fe I,3d6.4s.(6D<7/2>).4f,13,11.43763,12,0.29201,0.21182,2.47364,5,7
Fe I,3d6.4s.(6D<5/2>).4f,11,9.14759,10,0.31295,0.2221,2.37879,5,6
Fe I,3d6.(3P2).4s.4p.(1P*),2,1.32222,2,0.63915,0.53873,1.30056,2,1
Fe I,3d6.4s.(6D<3/2>).4f,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d6.4s.(4D).4d,18,13.72924,14,0.34752,0.26921,1.92902,4,10
Fe I,3d6.(5D).4s (4D).4d,9,7.62908,8,0.3127,0.22039,2.43115,5,5
Fe I,3d6.4s.(6D<1/2>).4f,4,3.34341,4,0.50553,0.38073,1.53636,3,2
Fe I,3d6.4s.(4D).5p,20,14.70904,15,0.35681,0.29614,1.75146,4,11
Fe I,3d6.(3H).4s.4p.(1P*),9,9.28174,10,0.33659,0.25093,2.10549,5,5
Fe I,3d6.4s.(6D).7s,8,5.95086,6,0.48106,0.36727,1.50134,3,6
Fe I,3d7.(4F).5d,5,5.16736,6,0.46167,0.3939,1.39987,3,5
Fe I,3d7.(4F<9/2>).4f,12,12.19095,13,0.23482,0.17672,2.94925,6,6
Fe I,3d6.4s.(6D<9/2>).6d,9,9.08544,10,0.26257,0.22216,2.3782,5,5
Fe I,3d7.(4F<7/2>).4f,11,10.48338,11,0.22756,0.20242,2.5983,5,5
Fe I,3d6.4s.(6D<9/2>).5f,5,5.81052,6,0.38342,0.27671,1.99271,4,2
