integer_type,value,d,L1,Tail,H2,keff,null_source
sg_order,8,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,8,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,8,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,8,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,192,3,0.79104,0.0,0.66941,0.93189,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,8,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,8,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,4,1,1.0,0.0,1.0,0.94065,empirical
sg_order,2,1,1.0,0.0,1.0,0.94065,empirical
