variant,domain,families,in_arm
full,accounting,4,False
full,admin_codes,3,False
full,campaign_finance,3,False
full,census,25,False
full,corporate_financials,32,False
full,crime,3,False
full,equity_markets,103,True
full,food_nutrition,10,True
full,genomics,11,False
full,health,7,False
full,network_telemetry,6,False
full,payments_fraud,10,False
full,procurement,8,True
full,real_estate,11,True
full,seismology,34,True
full,sports,13,False
full,taxi_trips,1,False
full,unresolved,78,False
excl_network_telemetry,accounting,4,False
excl_network_telemetry,admin_codes,3,False
excl_network_telemetry,campaign_finance,3,False
excl_network_telemetry,census,25,False
excl_network_telemetry,corporate_financials,32,False
excl_network_telemetry,crime,3,False
excl_network_telemetry,equity_markets,103,True
excl_network_telemetry,food_nutrition,10,True
excl_network_telemetry,genomics,11,False
excl_network_telemetry,health,7,False
excl_network_telemetry,payments_fraud,10,False
excl_network_telemetry,procurement,8,True
excl_network_telemetry,real_estate,11,True
excl_network_telemetry,seismology,34,True
excl_network_telemetry,sports,13,False
excl_network_telemetry,taxi_trips,1,False
excl_network_telemetry,unresolved,78,False
excl_procurement,accounting,4,False
excl_procurement,admin_codes,3,False
excl_procurement,campaign_finance,3,False
excl_procurement,census,25,False
excl_procurement,corporate_financials,32,False
excl_procurement,crime,3,False
excl_procurement,equity_markets,103,True
excl_procurement,food_nutrition,10,True
excl_procurement,genomics,11,False
excl_procurement,health,7,False
excl_procurement,network_telemetry,6,False
excl_procurement,payments_fraud,10,False
excl_procurement,real_estate,11,True
excl_procurement,seismology,34,True
excl_procurement,sports,13,False
excl_procurement,taxi_trips,1,False
excl_procurement,unresolved,78,False
excl_census,accounting,4,False
excl_census,admin_codes,3,False
excl_census,campaign_finance,3,False
excl_census,corporate_financials,32,False
excl_census,crime,3,False
excl_census,equity_markets,103,True
excl_census,food_nutrition,10,True
excl_census,genomics,11,False
excl_census,health,7,False
excl_census,network_telemetry,6,False
excl_census,payments_fraud,10,False
excl_census,procurement,8,True
excl_census,real_estate,11,True
excl_census,seismology,34,True
excl_census,sports,13,False
excl_census,taxi_trips,1,False
excl_census,unresolved,78,False
equal_family_weighting,accounting,4,False
equal_family_weighting,admin_codes,3,False
equal_family_weighting,campaign_finance,3,False
equal_family_weighting,census,25,False
equal_family_weighting,corporate_financials,32,False
equal_family_weighting,crime,3,False
equal_family_weighting,equity_markets,103,True
equal_family_weighting,food_nutrition,10,True
equal_family_weighting,genomics,11,False
equal_family_weighting,health,7,False
equal_family_weighting,network_telemetry,6,False
equal_family_weighting,payments_fraud,10,False
equal_family_weighting,procurement,8,True
equal_family_weighting,real_estate,11,True
equal_family_weighting,seismology,34,True
equal_family_weighting,sports,13,False
equal_family_weighting,taxi_trips,1,False
equal_family_weighting,unresolved,78,False
