dataset_id,tier,f,rep,keff_core,dTail_core,atoms,tail,L3,energy,keff_core_q95,keff_core_q05,dTail_core_q95,dTail_core_q05,atoms_q95,atoms_q05,tail_q95,tail_q05,L3_q95,L3_q05,energy_q95,energy_q05,f_eff,det_keff_core,det_dTail_core
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,none,0.0,-1,0.99518,0.0,1.11094,0.00152,0.00152,0.44682,0.9971,0.99293,0.00028,-0.00028,1.1159,1.10506,0.00182,0.00121,0.00182,0.00121,0.47286,0.43663,,,
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,0,0.99783,7e-05,1.11817,0.00164,0.00164,0.45587,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,1,0.9972,7e-05,1.11645,0.00161,0.00161,0.4668,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,2,0.99808,0.00015,1.11897,0.0017,0.00168,0.46104,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,3,0.99762,2e-05,1.11718,0.00156,0.00156,0.44682,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,4,0.99819,9e-05,1.11944,0.00165,0.00163,0.44599,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,5,0.99791,4e-05,1.11818,0.00158,0.00158,0.4512,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,6,0.99774,0.00013,1.11859,0.00168,0.00163,0.42866,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,7,0.99784,0.0002,1.1195,0.00178,0.00177,0.45397,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,8,0.99796,0.00017,1.11918,0.00174,0.00174,0.48136,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,9,0.99803,0.00019,1.11931,0.00175,0.00169,0.4493,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,10,0.9982,0.00013,1.11953,0.0017,0.00166,0.43393,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,11,0.99802,0.00014,1.11851,0.00169,0.00169,0.44193,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,12,0.99763,0.00014,1.11815,0.0017,0.00168,0.44559,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,13,0.99796,0.00019,1.11904,0.00173,0.00172,0.44409,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.01,14,0.9973,6e-05,1.11635,0.00159,0.00159,0.46006,,,,,,,,,,,,,0.01,True,False
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,0,1.0087,0.00058,1.14932,0.00233,0.00229,0.42222,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,1,1.00895,0.0004,1.148,0.00209,0.00206,0.43999,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,2,1.00863,0.00074,1.15049,0.0025,0.00243,0.41849,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,3,1.00859,0.00053,1.14877,0.00224,0.00216,0.42601,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,4,1.00857,0.00061,1.14957,0.00235,0.0023,0.42768,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,5,1.00864,0.0007,1.14897,0.00245,0.00242,0.43813,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,6,1.00875,0.00049,1.14902,0.0022,0.00216,0.4217,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,7,1.00843,0.00037,1.14713,0.00205,0.00201,0.42239,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,8,1.00751,0.00034,1.14525,0.00203,0.00198,0.42962,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,9,1.00831,0.0005,1.14867,0.00225,0.00221,0.41385,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,10,1.00872,0.00045,1.14963,0.00221,0.00217,0.41803,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,11,1.00836,0.00043,1.14742,0.00214,0.00214,0.42401,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,12,1.00861,0.0003,1.14799,0.002,0.00195,0.42856,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,13,1.00808,0.00049,1.14826,0.00222,0.0022,0.43527,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.05,14,1.00747,0.00038,1.14538,0.00208,0.00206,0.42959,,,,,,,,,,,,,0.05,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,0,1.02053,0.00084,1.18203,0.00278,0.00274,0.4128,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,1,1.0225,0.00098,1.18532,0.00286,0.00279,0.41023,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,2,1.02228,0.00083,1.1853,0.00275,0.00263,0.39947,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,3,1.02266,0.00081,1.18635,0.00271,0.00266,0.40718,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,4,1.02207,0.00107,1.18433,0.00295,0.00293,0.41876,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,5,1.02114,0.00107,1.18307,0.00293,0.00276,0.42714,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,6,1.0232,0.00098,1.18722,0.00289,0.00276,0.39754,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,7,1.02238,0.00087,1.18542,0.0028,0.00272,0.39359,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,8,1.0222,0.00112,1.18539,0.00302,0.00292,0.40251,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,9,1.02291,0.001,1.18765,0.00295,0.00293,0.41013,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,10,1.02043,0.00103,1.18163,0.00297,0.00284,0.42406,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,11,1.02321,0.00079,1.18691,0.00273,0.00267,0.39004,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,12,1.01949,0.00094,1.18029,0.00284,0.00277,0.39533,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,13,1.02176,0.00082,1.18413,0.00273,0.00266,0.4007,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.1,14,1.02207,0.00107,1.18501,0.00297,0.0029,0.40592,,,,,,,,,,,,,0.1,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.25,0,1.04528,0.0017,1.24465,0.00394,0.00373,0.37456,,,,,,,,,,,,,0.1889,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.25,1,1.04608,0.00155,1.24578,0.00382,0.00356,0.36865,,,,,,,,,,,,,0.1889,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.25,2,1.04625,0.00163,1.24565,0.00381,0.0037,0.38839,,,,,,,,,,,,,0.1889,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.25,3,1.04486,0.00188,1.24345,0.00408,0.00387,0.38963,,,,,,,,,,,,,0.1889,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.25,4,1.04691,0.00206,1.2476,0.00431,0.00415,0.38959,,,,,,,,,,,,,0.1889,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,0.25,5,1.04575,0.00162,1.24499,0.00381,0.00363,0.39004,,,,,,,,,,,,,0.1889,True,True
